Lemma,Gloss,Persian lemmas (or gap),Persian Gloss
cuckoo,any of numerous European and North American birds having pointed wings and a long tail,کوکو,نوعی پرنده که در اروپا و آمریکای شمالی یافت می‌شود و بال‌های نوک تیز و دم بلند دارد
"bird louse, biting louse, louse",wingless insect with mouth parts adapted for biting; mostly parasitic on birds,شپش,حشره‌ای بدون بال با بخش‌هایی مانند دهان برای گاز گرفتن; معمولا برای پرندگان نقش انگل را دارد
"govern, rule",exercise authority over; as of nations,"حکومت کردن، حکمرانی کردن",اعمال قدرت کردن بر روی چیزی یا جایی (مثلا بر کشور)
"brook, creek",a natural stream of water smaller than a river (and often a tributary of a river),نهر,یک جریان طبیعی آب کوچک‌تر از رودخانه (اغلب شاخه‌ای از یک رودخانه است)
"joy, joyousness, joyfulness",the emotion of great happiness,"شادی، خرسندی",احساس خوشبختی زیاد
"close, shut",move so that an opening or passage is obstructed; make shut,بستن,حرکت دادن به‌طوری که ورودی یا گذرگاه مسدود شود
"vainly, in vain",to no avail,بیهوده,بدون هیچ فایده یا آورده‌ای
"open, open up",cause to open or to become open,"باز کردن، گشودن",موجب باز شدن چیزی و درآمدن آن از حالت بسته
"tell, narrate, recount, recite",narrate or give a detailed account of,"گفتن، نقل کردن، روایت کردن، شرح دادن",بازگو کردن یک چیز به‌طور مفصل
milk,a white nutritious liquid secreted by mammals and used as food by human beings,شیر,مایعی مغذی و سفید رنگ که توسط پستانداران ترشح شده و به عنوان نوشیدنی استفاده می‌شود
cave,a geological formation consisting of an underground enclosure with access from the surface of the ground or from the sea,غار,شکافی که در زیرزمین یا اندرون کوه در اثر انحلال مواد داخلی آن یا حرکات زمین بوجود می‌آید و از سطح زمین یا دریا قابل ورود است
"recuperate, recover, convalesce",get over an illness or shock,"بهبود یافتن، شفاء یافتن",بر بیماری یا شوک غلبه کردن
fly,two-winged insects characterized by active flight,"مگس، پشه",حشره‌ای دارای خرطوم کوچک و دو چشم و دوشاخک کوتاه و یک جفت بال نازک که در جاهای گرم و کثیف به وجود می‌آید و دو چشم دارد که هر چشم از تعداد زیادی چشم‌های ریز ساده ساخته شده
sign,a public display of a (usually written) message,"نشانه، علامت، تابلو",یک صفحه در یک فضای عمومی که (معمولا) دارای یک پیام است
"interrupt, disturb",destroy the peace or tranquility of,مزاحم شدن,بر هم زدن یا از بین بردن صلاح یا آرامش
"kettle, boiler",a metal pot for stewing or boiling; usually has a lid,کتری,قابلمه فلزی برای جوش آوردن آب; معمولا دارای درب
"hark back, return, come back, recall",go back to something earlier,"برگشتن، بازگشتن",به چیزی مربوط به قبل رفتن
"translate, interpret, render",restate (words) from one language into another language,"ترجمه کردن، معنی کردن",بازگویی کلمات از یک زبان به زبان دیگر
"crisscross, cross, mark",a marking that consists of lines that cross each other,ضرب‌در,علامتی که از دو خط که از یکدیگر عبور کرده‌اند تشکیل شده است
cloud,a visible mass of water or ice particles suspended at a considerable altitude,"ابر، سحاب",توده عظیم بخار آب یا ذرات یخ معلق که در ارتفاع زیادی قرار دارد و با چشم قابل مشاهده است
butter,an edible emulsion of fat globules made by churning milk or cream; for cooking and table use,کره,چربی‌ای که از شیر یا دوغ یا خامه به دست می‌آید و برای آشپزی و خوراک استفاده می‌شود
broom,a cleaning implement for sweeping; bundle of straws or twigs attached to a long handle,جارو,ابزاری برای تمیز کردن خاک و خاشاک و زباله از روی زمین که از برخی گیاهان یا الیاف مصنوعی تهیه می‌شود و به یک دسته بلند متصل شده است
"connect, link, tie, link up","connect, fasten, or put together two or more pieces","متصل کردن، وصل کردن، بستن",پیوند زدن دو یا چند قطعه کنار یکدیگر
listen,hear with intention,"گوش دادن، گوش کردن",شنیدن از قصد
hear,perceive (sound) via the auditory sense,"شنیدن، گوش کردن، گوش دادن به، استماع کردن",درک کردن و دریافت (صدا) از طریق حس شنوایی
"talk, speak",exchange thoughts; talk with,"صحبت کردن، مکالمه کردن، سخن گفتن، حرف زدن، گفت‌و‌گو کردن",مبادله افکار; رد و بدل کردن جملات
"aunt, auntie, aunty",the sister of your father or mother; the wife of your uncle,gap,خواهر یکی از والدین
"troop, flock",an orderly crowd,دسته,یک جمعیت منظم
stroke,a mark made by a writing implement (as in cursive writing),gap,علامتی که توسط ابزار نوشتن ایجاد می‌شود
"speak, talk",use language,"حرف زدن، صحبت کردن، سخن گفتن، تکلم کردن، گفت‌وگو کردن",استفاده از زبان
stick,a long thin implement resembling a length of wood,gap,
"bucket, pail",a roughly cylindrical vessel that is open at the top,سطل,یک ظرف تقریبا استوانه‌ای شکل که بالایش باز است
"make noise, resound, noise",emit a noise,"سر و صدا کردن، خش خش کردن",پخش کردن سر و صدا و شلوغی
perch,any of numerous spiny-finned fishes of various families of the order Perciformes,ماهی لوتی,نوعی ماهی خاردار از خانواده‌های مختلف سوف‌ماهی‌سانان
"edge, margin",a strip near the boundary of an object,"لبه، حاشیه، کناره، مرز، ضلع",نواری در نزدیکی مرز یک جسم
"animation, life, living, aliveness",the condition of living or the state of being alive,"زندگی، حیات، زیست، زنده بودن",حالت زنده بودن
mosquito,two-winged insect whose female has a long proboscis to pierce the skin and suck the blood of humans and animals,پشه,حشره‌ای دارای دو بال که مونث آن خرطومی بلند جهت سوراخ کردن پوست انسان و حیوانات و مکیدن خونشان دارد
pole,a long (usually round) rod of wood or metal or plastic,gap,
"affect, impress, move, strike",have an emotional or cognitive impact upon,"تحت تاثیر قرار دادن، اثر گذاشتن",یک حالت عاطفی یا شناختی برای کسی ایجاد کردن
be,"have the quality of being; (copula, used with an adjective or a predicate noun)",بودن,دارای یک صفت و یا خاصیت یا حالت
