Indonesian Lemma,Indonesian Definition,Banjarese Lemma,Banjarese Definition
nasi lengko,"nasi dengan campuran tahu, taoge, mentimun, dan bawang goreng",GAP,
teh pahit,teh tanpa gula,tih tawar,teh kada bagula
tumis,masakan (dr sayuran dsb) yg digoreng dng sedikit minyak,tumis,masakan nang terbuat dari sayuran nang di goreng
mi panjang umur,"hidangan berbahan misoa, biasanya dihidangkan pada perayaan atau momen istimewa warga keturunan Tionghoa, menurut tradisi mi tersebut tidak boleh dipotong baik saat dimasak maupun ketika disantap",mi panjang umur,mi nang disajikan pada perayaan ulang tahun atau acara khusus lainnya
sambal lingkung,serundeng ikan,GAP,
bubuk cabai,"bubuk dari cabai, biasanya digunakan untuk memberi rasa pedas pada makanan",GAP,
serabi,"penganan berbentuk bundar pipih berpori-pori, dibuat dr adonan tepung beras (gandum), air kelapa (santan dsb), ragi dsb, sebelum dimasak dibiarkan mengembang, dimakan dng kuah gula jawa bercampur santan",serabi,"wadai tradisional yang terbuat dari adonan tepung beras atau tepung terigu yang dicampur dengan santan, kemudian dipanggang dalam cetakan khusus hingga bertekstur lembut di bagian dalam dan agak renyah di bagian luar"
bulus-bulus,"ikan laut, tubuh berwarna keabu-abuan, hidup di perairan tropis di perairan Indo-Pasifik Barat; Decapterus macrosoma",GAP,
bolu gulung,"bolu yang tebalnya kurang lebih 3 cm, diolesi selai atau krim kocok, kemudian digulung",Bolu gulung,"bolu yang tebalnya kurang lebih 3 cm, diolesi selai atau krim kocok, kemudian digulung"
koktail,"minuman beralkohol dibuat dari campuran berbagai bahan, biasanya diminum dengan es batu dan gula",GAP,
bubur kanji rumbi,bubur dari beras yang dibumbui dengan rempah dan diberi suwiran daging ayam,GAP,
mangut,"ikan tawar yg digoreng, dimasak dng santan kental yg telah dibumbui dng cabai yg agak banyak",GAP,
mi ayam,"mi yang dimasak, berkaldu dan dihidangkan dengan potongan daging ayam dan daun sawi hijau",mi hayam,"masakan isinya mi, sayur sasawi, kuahnya nang manis atawa gurih, tagal ada jua nang kada bakuah"
teh tubruk,"teh yang dibuat dengan cara mencampurkan daun teh dengan air, diminum langsung tanpa disaring",GAP,
menu,"daftar makanan atau minuman yg tersedia dan dapat disajikan sesuai dng pesanan, di restoran, hotel, dsb",GAP,
sambal kemiri,sambal yang dibuat dari cabai dan kemiri yang dibakar atau digoreng kemudian ditumbuk dengan bumbu lainnya,GAP,
kecipir,"tumbuhan merambati, buahnya berbelimbing panjang dan bersayap serta bergantung pd batangnya, Psophocarpus tetragonolobus",GAP,
kue bawang,"kue yang terbuat dari campuran tepung sagu atau tapioka, terigu, margarin, bawang putih, dan sebagainya, kemudian dipipihkan, dipotong kecil-kecil, dan digoreng",GAP,
jus anggur,sari buah anggur,jus anggur,jus nang terbuat matan anggur
gula gelatin,"campuran gula pasir dan pektin, digunakan untuk membuat selai dan marmelade",GAP,
sus,"kue ringan berongga, biasanya diisi dng vla, keju, dsb",wadai sus,wadai nang luar nya karing baisian vla bawarna putih
ayam kung pao,"masakan khas Cina berupa potongan ayam sebesar dadu yang ditumis bersama kacang tanah dan sayuran serta dibumbui merica, cuka, kecap, saus tiram, cabai, dan sebagainya",GAP,
bentulu,"ikan air tawar, hidup di perairan tropis di perairan Asia (Semenanjung Malaya, Sumatra, Kalimantan, dan Jawa); Barbichthys laevis",GAP,
jamur paha ayam,"jamur konsumsi berbentuk seperti paha ayam, berbatang putih tebal seperti daging, bertudung kecil, panjangnya dapat mencapai 6-8 inci, tumbuh menempel di kayu atau lapuk, dibudidayakan dengan media tanam berupa serbuk",GAP,
tempe bongkrek,tempe yg dibuat dr ampas kacang dan ampas kelapa (setelah diambil minyaknya),GAP,
tempe bungkil,tempe yang dibuat dari bungkil kacang tanah yang telah diperas kandungan minyaknya,GAP,
jeruk purut,"pohon yang daunnya berbentuk lonjong, buahnya berbau harum, kulit buah digunakan untuk membumbui ikan, mengandung minyak asiri (Citrus hystrix)",limau kuit,Rancak diparah gasan makanan atau masakan
tempe kering,"masakan berupa tempe yang dipotong kecil-kecil dan tipis, digoreng kering, lalu ditumis dengan bumbu dasar, kecap, dan cabai, dapat juga dicampur dengan kacang goreng dan teri goreng",GAP,
kue bantal,"kue yang dibuat dari terigu, ragi, telur, dan sebagainya yang digoreng, dapat ditaburi biji wijen atau gula halus, berbentuk menyerupai bantal, rasanya manis",GAP,
bakso mercon,bakso berukuran besar berisi cabai dalam jumlah banyak sehingga menimbulkan sensasi ledakan pedas dalam mulut,GAP,
beras analog,"beras tiruan yang terbuat dari campuran sumber karbohidrat selain beras, seperti tepung jagung, sorgum, dan sagu, dibuat melalui proses granulasi atau ekstrusi dengan komposisi gizi yang disesuaikan dengan keperluan",GAP,
daging segar,daging yang baru dihasilkan dari pemotongan ternak (belum diawetkan dan belum disimpan lama),daging segar,
pir,"buah di daerah subtropis, bentuknya seperti jambu monyet, rasanya manis, berair seperti jambu biji",GAP,
kacang tapir,"kacang tanah yang polongnya mempunyai lukisan urat agak nyata, warna kulit biji merah jambu, daging biji mengandung protein dan lemak",GAP,
daging potong,daging yang dipotong,GAP,
gin,minuman beralkohol yg dibuat dng jalan menyuling ekstrak fermentasi bijian,GAP,
kacang mete,"biji jambu mete yang bergizi, setelah dikeringkan biasanya digoreng, dimakan sebagai camilan",GAP,
wiski,minuman keras dng alkohol berkadar tinggi,GAP,
kentang mentega,"kentang jenis Granala, daging umbi berwarna kuning, bentuknya lonjong, paling baik mutunya, dan berukuran paling besar dibandingkan dengan kentang jenis lain",GAP,
makanan kaleng,makanan yang diawetkan dan dikemas dalam kaleng tertutup rapat,GAP,
ayam geprek,ayam goreng tepung yang ditumbuk dengan sambal secara bersamaan,GAP,
paprika,"tanaman perdu tahunan, berdaun lonjong dengan tangkai agak panjang, buahnya berbentuk bulat, berongga berisi biji yang tersebar tidak merata, berdaging agak tebal, warna buah ada yang hijau tua, hijau muda, kuning, atau merah, biasa digunakan sebagai pelengkap hidangan (Capsicum annuum var. abbreviata)",paprika,lombok ganal berbentuk kek kotak melonjong
nasi golong,nasi yang dikepal dan dibulat-bulatkan,GAP,
mi,"bahan makanan dr tepung terigu, bentuknya panjang-panjang spt tali, rasanya gurih, biasanya dimasak dng telur, daging, udang, sayuran; bakmi",mi,makanan beukuran panjang diulah dari tepung terigu
sedap,lezat,nyaman,"memiliki rasa atau aroma yang enak, sering digunakan untuk menggambarkan makanan atau minuman yang lezat"
kaviar,telur terubuk (telur ikan sturgeon) yg diawetkan dan diasinkan,GAP,
sancan,"daging sapi yang berasal dari otot perut, bentuknya panjang dan datar, lebih keras dibanding bagian lain, biasa dibuat oseng-oseng jika diiris tipis-tipis",GAP,
kerabu,"rujak dr irisan mentimun dsb yg dibubuhi lombok, garam, dsb; mengerabu v membuat kerabu",GAP,
acar,"makanan yg dibuat dr buah-buahan, sayuran, dsb yg diasamkan dng cuka",acar,"makanan nang diulah matan bubuahan wan sayuran, dibari rampah wan diasamakan"
cekuh,tumbuh-tumbuhan yg bunganya biasa ditaburkan di atas kuburan dan daunnya dijadikan ulam atau lalap,GAP,
tahu gejrot,"masakan khas Cirebon terbuat dari tahu sumedang goreng dicampur dengan saus dari asam jawa, kecap manis, gula merah yang diberi bumbu bawang merah, bawang putih, dan cabai",tahu gejrot,"tahu goreng yang dipotong kecil-kecil, kemudian disiram dengan kuah"
petsai,"sayuran berdaun besar membundar telur, pinggir bergerigi, hijau keputihan, bertangkai panjang, lebar dan bersayap memeluk batang, membongkal memanjang; kubis cina (Brassica rapa var. pekinensis)",GAP,
spageti,mi yg menjadi makanan utama orang Itali,GAP,
kacang pelanduk,"kacang yang berpolong, seperti kacang anoa, warna kulit biji merah, daging biji mengandung protein dan lemak",GAP,
ubi prancis,ubi kayu,gumbili prancis,ubi yang memiliki bentuk bulat panjang dan kulit berwarna coklat keemasan
kafelate,"kopi yang terbuat dari espreso dan susu, biasanya disajikan dalam cangkir kopi",GAP,
lada hitam,"rempah-rempah dari buah lada yang masih hijau, diperam dan dijemur sampai kering sehingga buahnya menjadi keriput dan berwarna kehitam-hitaman",GAP,
bergedel,"lauk yg dibuat dr kentang dan daging yg dilumatkan bersama bumbunya, kemudian digoreng; pergedel",GAP,
rujak,"makanan yg dibuat dr buah-buahan sering disertai sayuran yg diiris (ditumbuk dsb) kemudian diberi bumbu yg terdiri atas asam, gula, cabe, dsb banyak macamnya spt -- tumbuk; -- ulek",pencok,"makanan nang diulah matan buah-buahan, bahanu pakai sayuran nang dihiris (ditumbuk wan sabagainya), imbah itu dibari bumbu nang isinya asam, gula, lumbuk, wan sabagainya"
air mineral,air yang mengandung sejumlah besar garam mineral atau gas (seperti karbon dioksida),GAP,
gula batu putih,gula batu yang memiliki rekahan kecil yang memantulkan cahaya,gula batu putih,memancarkan percikan cahaya dan bentuknya yang kecil
teh jahe merah,"teh yang dibuat dari ramuan jahe merah, berkhasiat untuk menyehatkan organ lambung, limpa, dan ginjal serta menyembuhkan masuk angin, flu, radang tenggorokan, dan sebagainya",teh jahe merah,"teh dengan jahe merah yang telah diparut atau diolah, memberikan rasa hangat dan khas"
bawang cung,"bawang merah yang dipanen ketika masih muda, berbentuk gepeng, tidak berumbi, biasa dipakai sebagai penyedap kaldu rawon (Allium schoenoprasum L.)",GAP,
daging rusuk,daging ternak pada bagian dada yang dipotong bersama tulang rusuk,GAP,
langsat,"pohon yg batangnya lurus, bunganya berwarna putih atau kuning, buahnya menyerupai duku, warnanya kuning kehijau-hijauan, bergerombol dl tandan, bentuknya agak lonjong, rasanya agak asam-asam manis, kulitnya tipis dan bergetah; Lansium domesticum",langsat,buah dengan batang lurus dan berbentuk seperti buah duku
serawak,"penganan yg terbuat dr pisang, dicampur dng tepung dan telur, kemudian diberi kuah gula merah bercampur santan",GAP,
sambal dadak,"sambal yang baru dibuat saat akan dihidangkan (dadakan), berasa segar karena tidak melalui proses memasak",GAP,
ketupat kandangan,"makanan yang berasal dari Kalimantan Selatan, berupa ketupat yang diberi kuah santan dan ikan haruan yang dibakar",katupat kandangan,"katupat nang khas asalnya dari dairah Kandangan, Kalimantan Selatan."
bekatul,tepung atau serbuk halus yg diperoleh setelah padi ditumbuk dan kulit padi dipisahkan dr bulirnya,GAP,
es podeng,"minuman yang terbuat dari es puter, alpukat, roti tawar, agar-agar, pacar cina, kacang tanah, dan sebagainya, biasanya dilengkapi dengan kental manis dan meses",GAP,
ubi jenderal,ubi kayu; singkong,gumbili jenderal,ubi yang dikenal dengan teksturnya yang lembut dan rasanya yang manis setelah dimasak
jeruk delima,jeruk bali yang isi buahnya berwarna merah,GAP,
kecap asin,"kecap dengan kandungan garam lebih banyak dan bertekstur lebih encer daripada kecap manis, sering digunakan sebagai pengganti garam dapur",kicap masin,Kicap barasa masin
bengkuang,"tumbuhan menjalar, umbinya berwarna putih, banyak mengandung air, rasanya manis; Pandanus antrocarpus",GAP,
nasi,beras yg sudah dimasak (sudah ditanak),nasi,baras nang bamasak
bubur Manado,"penganan khas Manado berupa bubur dibuat dari campuran beras dan beberapa jenis sayur (kangkung, bayam, labu, dan sebagainya), biasanya dimakan dengan ikan",GAP,
bakso tusuk,"bakso tanpa kuah yang dimakan dengan cara ditusuk, disajikan dengan saus cabai, dibuat dengan campuran daging yang lebih sedikit daripada bakso biasanya",GAP,
perkedel jagung,"perkedel yg dibuat dr jagung muda sbg pengganti kentang, diberi bumbu serta dimasak, sama spt perkedel",ampal jagung,adonan nang bacampur jagung ditambahi bumbu imbahtu digoreng
ikan tongkol,"ikan laut dan payau, jenis cakalang, ukurannya mencapai panjang 122 cm, berat 16,5 kg, umur 10 tahun, hidup di terumbu karang perairan tropis",iwak tongkol,"iwak nang hidup di laut, biasanya memiliki tubuh ramping dan daging yang keras, iwak ini sering digunakan dalam berbagai hidangan, terutama dalam masakan khas daerah"
rengginang,penganan dibuat dr ketan yg dijemur lalu digoreng (kerupuk ketan),rengginang,"nasi yang telah dikukus, kemudian dikeringkan, dan digoreng hingga menjadi krispi"
gula cokelat,"gula yang dibuat dari tetes tebu, dalam proses pembuatannya dicampur dengan molase sehingga menghasilkan butiran gula berwarna kecokelatan, berteskstur lebih halus dan lebih lembap daripada gula pasir, biasanya digunakan sebagai campuran untuk membuat kue kering, kue basah, dan bolu",gula cuklat,"gula nang di proses pembuatannya dibubuhi molase. Warnanya kecoklatan seperti gula palem, memiliki wangi karamel, dan rasanya legit."
susu tepung tanpa lemak,susu tepung hasil pengolahan (pengeringan) air susu yang telah diambil lemaknya,GAP,
hamburger,"penganan yang terbuat dari daging cacah, biasanya daging sapi, dibentuk bulat, kemudian dipipihkan dan digoreng dengan mentega atau dipanggang di atas bara, biasanya dimakan sebagai isi roti bulat, diberi daun selada, saus tomat, dan bumbu lainnya",GAP,
asam jawa,"buah asam, yang keras dan diawetkan, dipakai sebagai bumbu untuk memasak",GAP,
bubur ase,bubur khas Betawi dengan tambahan asinan sayur dan semur daging,GAP,
molase,"produk yang dihasilkan selama pembuatan gula, berupa cairan kental berwarna cokelat dan dapat digunakan sebagai campuran bahan makanan ternak",GAP,
terubuk,"ikan yg hidup di air laut, payau, atau tawar, Alosa aestivalis",GAP,
soto mi,"soto khas Bogor dengan kuah bening kecokelatan, berisi mi kuning, irisan kikil, risol, dan sebagainya",soto mi,"sup yang menggunakan mi sebagai bahan utamanya. Biasanya terdiri dari kaldu yang kaya rasa, mi, daging dan berbagai bahan tambahan seperti sayuran, telur rebus, dan bawang goreng"
bumbu dasar,campuran bumbu yang digunakan untuk memasak berbagai jenis makanan,bumbu dasar,Rampah Rampah gasan bemasak
bawang,"tanaman umbi lapis yg dapat dipakai sbg bumbu penyedap makanan, ada beberapa macam jenisnya",bawang,"tanaman umbi lapis yg dapat dipakai sbg bumbu penyedap makanan, ada beberapa macam jenisnya"
jeroan,"isi perut hewan (babat, usus, limpa, dan sebagainya)",GAP,
kubis brussel,"sayuran berbatang hingga 1 m, yang kuncup ketiaknya berkembang menjadi bongkol kubis mini, berdiameter 3 cm, daun memutar di puncak (Brassica oleracea var. gemmifera)",GAP,
tahu mambo,"tahu putih yang dihancurkan, dicampur bawang, tomat, telur, dan daun bawang, lalu dibentuk bulat pipih menyerupai perkedel, dan digoreng, dapat disajikan dengan cabai rawit",tahu mambo,"Tahu nang memiliki tekstur yang renyah di luar dan lembut di dalam, tahu yang digoreng dan disajikan dengan bumbu"
abrikos kering,abrikos yang dikeringkan,GAP,
daging ayam kebiri,daging dari ayam kebiri,GAP,
bigat,"roti keras yg dihidangkan dng makanan lain, biasanya tahan lama",GAP,
dodol,"penganan dibuat dr tepung ketan dan gula merah, terkadang dicampur dng kelapa, durian, sirsak, tapai, dsb",dodol,makanan diulah matan galapung ketan santan nyiur wan gula habang takananya dicampur lawan buah buahan nang kaya buah durian sirsak dibungkus daun jagung kartas wan sabagainya
nasi rawon,nasi dengan lauk kuah dan daging rawon,nasi rawan,nasi dengan kuah rawon
barli,"padi-padian, dipakai sbg bahan pembuat bir dan wiski",GAP,
bacang,penganan spt lontong dibuat dr beras (ketan) yg diisi daging,GAP,
biskuit,kue kering yg dibuat dr adonan tepung (terigu dsb) dan telur serta gula atau tanpa diberi gula (biasanya dibuat di pabrik dan dijual dl bentuk kalengan),gabin,makanan nang ranyah nang diulah matan galapung gandum wan ditambah makanan lain nang dimasak pakai cara dibanam (wadai karing)
air minum,air yang dapat diminum,banyu nginum,banyu nang bisa diminum
mayones,"saus dingin yang dimakan dengan selada, dibuat dari bahan kuning telur, garam, merica, moster, cuka, dan minyak yang dijadikan emulsi",GAP,
cokelat bubuk,"cokelat dalam bentuk bubuk, untuk bahan utama pembuatan jenis cokelat yang lain",GAP,
ketan hitam,beras ketan yg warnanya hitam,ketan hitam,"ketan nang berwarna hitam, terbuat dari beras ketan yang memiliki warna gelap dan biasanya digunakan dalam berbagai hidangan manis atau gurih dalam masakan tradisional"
malt,"biji-bijian yg dikecambahkan secara buatan dl suasana lembap, kemudian dikeringkan dl tanur",GAP,
gula bit,sukrosa yang diperoleh dari akar bit gula,GAP,
teh herbal,"teh yang umumnya diolah dari ramuan bunga daun, biji, akar, atau buah kering; tisane",tih herbal,teh nang di ulah dari berbagai tumbuh-tumbuhan herbal
koyam,bubur yg dibuat dr ketan (pulut),GAP,
pemanis limbak,pemanis yang digunakan sebagai pengganti sukrosa dan sirop glukosa,GAP,
halia,"tumbuhan rempah-rempah yg rasa umbinya pedas; jahe, Zingiber officinale",GAP,
nasi rames,nasi dng lauk-pauk,GAP,
daging beku,daging yang diawetkan dengan cara disimpan dalam lemari (kamar) pendingin,GAP,
nasi megana,nasi yang dimasak dengan sayur urap (nangka yang masih muda direbus dan dicincang),GAP,
punar,penganan yg dibuat dr ketan kuning,GAP,
ubi jalar,"ubi dr tumbuhan melata, Ipomoea batatas",gumbili lancar,"umbi yang tumbuh di bawah tanah dengan kulit yang berwarna kuning, oranye, atau ungu dan dagingnya yang lembut dan manis"
